Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)|Rugrats Movie, The (1998)|Bug's Life, A (1998)|Toy Story 2 (1999)|Saludos Amigos (1943)|Chicken Run (2000)|Adventures of Rocky and Bullwinkle, The (2000)|Goofy Movie, A (1995)"
Mad Dog Time (1996),"Young Poisoner's Handbook, The (1995)|Clean Slate (Coup de Torchon) (1981)|Switchblade Sisters (1975)|Original Gangstas (1996)|Kansas City (1996)|2 Days in the Valley (1996)|Curdled (1996)|Freeway (1996)|Gridlock'd (1997)|Keys to Tulsa (1997)"
Breathing Room (1996),"Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)|Promise, The (Versprechen, Das) (1994)|Walking and Talking (1996)|Crude Oasis, The (1995)|1-900 (1994)|Liebelei (1933)|Affair to Remember, An (1957)|Madagascar Skin (1995)"
Paris Was a Woman (1995),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Anna (1996),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
I'm Not Rappaport (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Blue Juice (1995),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Kids of Survival (1993),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Alien³ (1992),"Alien (1979)|Thing, The (1982)|Johnny Mnemonic (1995)|Nemesis 2: Nebula (1995)|Body Snatchers (1993)|Terminator 2: Judgment Day (1991)|Hellraiser: Bloodline (1996)|Solo (1996)|Arrival, The (1996)|Lawnmower Man, The (1992)"
"American Werewolf in London, An (1981)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Amityville 1992: It's About Time (1992),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Amityville 3-D (1983),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Amityville: Dollhouse (1996),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Amityville: A New Generation (1993),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Amityville II: The Possession (1982),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
"Amityville Horror, The (1979)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
"Amityville Curse, The (1990)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Blood For Dracula (Andy Warhol's Dracula) (1974),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
April Fool's Day (1986),"Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)|Frighteners, The (1996)|Braindead (1992)|Bad Taste (1987)|Young Frankenstein (1974)|Machine, The (1994)|Gremlins (1984)|Gremlins 2: The New Batch (1990)"
Audrey Rose (1977),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
"Believers, The (1987)","Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)|Halloween: The Curse of Michael Myers (1995)|Psycho (1960)|Nightwatch (1997)|Scream (1996)|Scream 2 (1997)|Ugly, The (1997)|Poltergeist (1982)"
"Birds, The (1963)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
"Blob, The (1958)","Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)|Night of the Living Dead (1968)|Alien Escape (1995)|Species II (1998)|Plan 9 from Outer Space (1958)|Parasite (1982)|Lifeforce (1985)|Faculty, The (1998)"
Blood Beach (1981),"Jaws (1975)|Jaws 2 (1978)|Jaws 3-D (1983)|Crow: Salvation, The (2000)|Hellraiser: Bloodline (1996)|Alien: Resurrection (1997)|Deep Rising (1998)|Blade (1998)|King Kong (1933)|King Kong (1976)"
Body Parts (1991),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
"Body Snatcher, The (1945)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Bram Stoker's Dracula (1992),"Mummy, The (1932)|Sleepy Hollow (1999)|Persuasion (1995)|Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)"
Bride of Frankenstein (1935),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Burnt Offerings (1976),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Candyman (1992),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Cape Fear (1991),"Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)"
Cape Fear (1962),"Suture (1993)|Murder, My Sweet (1944)|Manchurian Candidate, The (1962)|Strangers on a Train (1951)|Shadow of a Doubt (1943)|Mulholland Falls (1996)|Notorious (1946)|He Walked by Night (1948)|Touch of Evil (1958)|Chinatown (1974)"
Carrie (1976),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Cat People (1982),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
"Nightmare on Elm Street, A (1984)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Nosferatu a Venezia (1986),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
"Omen, The (1976)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Blood & Wine (1997),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Albino Alligator (1996),"Seven (Se7en) (1995)|Usual Suspects, The (1995)|Romeo Is Bleeding (1993)|Purple Noon (1960)|Reservoir Dogs (1992)|City of Industry (1997)|Playing God (1997)|Incognito (1997)|Red Corner (1997)|Young and Innocent (1937)"
"Mirror Has Two Faces, The (1996)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
Breaking the Waves (1996),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Nightwatch (1997),"Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)|Halloween: The Curse of Michael Myers (1995)|Psycho (1960)|Believers, The (1987)|Scream (1996)|Scream 2 (1997)|Ugly, The (1997)|Poltergeist (1982)"
Star Trek: First Contact (1996),Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)|Jurassic Park (1993)|Star Trek: The Motion Picture (1979)|Star Trek VI: The Undiscovered Country (1991)|Star Trek V: The Final Frontier (1989)|Star Trek: The Wrath of Khan (1982)|Star Trek III: The Search for Spock (1984)|Star Trek IV: The Voyage Home (1986)
Shine (1996),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
Sling Blade (1996),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)|City Hall (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)"
Jingle All the Way (1996),"Herbie Rides Again (1974)|Paulie (1998)|Candleshoe (1977)|Herbie Goes Bananas (1980)|Herbie Goes to Monte Carlo (1977)|Muppet Treasure Island (1996)|Willy Wonka and the Chocolate Factory (1971)|Borrowers, The (1997)|Condorman (1981)|Inspector Gadget (1999)"
Identification of a Woman (Identificazione di una donna) (1982),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Paradise Lost: The Child Murders at Robin Hood Hills (1996),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Preacher's Wife, The (1996)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Zero Kelvin (Kjærlighetens kjøtere) (1995),"Sudden Death (1995)|Money Train (1995)|Fair Game (1995)|Bad Boys (1995)|Under Siege 2: Dark Territory (1995)|Drop Zone (1994)|Hunted, The (1995)|Specialist, The (1994)|Bad Company (1995)|Street Fighter (1994)"
Ridicule (1996),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Crucible, The (1996)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
101 Dalmatians (1996),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)|Flintstones, The (1994)|Richie Rich (1994)|Little Big League (1994)|Little Rascals, The (1994)|Home Alone (1990)|Harriet the Spy (1996)|Matilda (1996)"
"Forbidden Christ, The (Cristo proibito, Il) (1950)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
I Can't Sleep (J'ai pas sommeil) (1994),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)|City Hall (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)"
Die Hard 2 (1990),"Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)|Die Hard: With a Vengeance (1995)|Natural Born Killers (1994)|River Wild, The (1994)|Mirage (1995)|Blown Away (1994)|Fugitive, The (1993)|In the Line of Fire (1993)"
Star Trek: The Motion Picture (1979),Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)|Jurassic Park (1993)|Star Trek: First Contact (1996)|Star Trek VI: The Undiscovered Country (1991)|Star Trek V: The Final Frontier (1989)|Star Trek: The Wrath of Khan (1982)|Star Trek III: The Search for Spock (1984)|Star Trek IV: The Voyage Home (1986)
Star Trek VI: The Undiscovered Country (1991),Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)|Jurassic Park (1993)|Star Trek: First Contact (1996)|Star Trek: The Motion Picture (1979)|Star Trek V: The Final Frontier (1989)|Star Trek: The Wrath of Khan (1982)|Star Trek III: The Search for Spock (1984)|Star Trek IV: The Voyage Home (1986)
Star Trek V: The Final Frontier (1989),Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)|Jurassic Park (1993)|Star Trek: First Contact (1996)|Star Trek: The Motion Picture (1979)|Star Trek VI: The Undiscovered Country (1991)|Star Trek: The Wrath of Khan (1982)|Star Trek III: The Search for Spock (1984)|Star Trek IV: The Voyage Home (1986)
Star Trek: The Wrath of Khan (1982),Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)|Jurassic Park (1993)|Star Trek: First Contact (1996)|Star Trek: The Motion Picture (1979)|Star Trek VI: The Undiscovered Country (1991)|Star Trek V: The Final Frontier (1989)|Star Trek III: The Search for Spock (1984)|Star Trek IV: The Voyage Home (1986)
Star Trek III: The Search for Spock (1984),Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)|Jurassic Park (1993)|Star Trek: First Contact (1996)|Star Trek: The Motion Picture (1979)|Star Trek VI: The Undiscovered Country (1991)|Star Trek V: The Final Frontier (1989)|Star Trek: The Wrath of Khan (1982)|Star Trek IV: The Voyage Home (1986)
Star Trek IV: The Voyage Home (1986),Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)|Jurassic Park (1993)|Star Trek: First Contact (1996)|Star Trek: The Motion Picture (1979)|Star Trek VI: The Undiscovered Country (1991)|Star Trek V: The Final Frontier (1989)|Star Trek: The Wrath of Khan (1982)|Star Trek III: The Search for Spock (1984)
Batman Returns (1992),"Batman Forever (1995)|Midnight Run (1988)|Rumble in the Bronx (1995)|Cliffhanger (1993)|Three Musketeers, The (1993)|Batman & Robin (1997)|I Went Down (1997)|Mystery Men (1999)|Golden Child, The (1986)|Operation Condor (Feiying gaiwak) (1990)"
Young Guns (1988),"Maverick (1994)|Butch Cassidy and the Sundance Kid (1969)|Young Guns II (1990)|I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)|City Slickers II: The Legend of Curly's Gold (1994)|Cowboy Way, The (1994)|Last Action Hero (1993)|Lightning Jack (1994)"
Young Guns II (1990),"Maverick (1994)|Butch Cassidy and the Sundance Kid (1969)|Young Guns (1988)|I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)|City Slickers II: The Legend of Curly's Gold (1994)|Cowboy Way, The (1994)|Last Action Hero (1993)|Lightning Jack (1994)"
Grease (1978),"Gay Divorcee, The (1934)|Top Hat (1935)|Everyone Says I Love You (1996)|Shall We Dance? (1937)|Damsel in Distress, A (1937)|Grease 2 (1982)|Pal Joey (1957)|Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)"
