Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)"
"Bewegte Mann, Der (1994)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Magic Hunter (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Larger Than Life (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Boy Called Hate, A (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Power 98 (1995),Fallen (1998)|52 Pick-Up (1986)|Event Horizon (1997)
Two Deaths (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Very Brady Sequel, A (1996)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Stefano Quantestorie (1993),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Death in the Garden (Mort en ce jardin, La) (1956)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Crude Oasis, The (1995)","Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)"
Hedd Wyn (1992),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Collectionneuse, La (1967)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Kaspar Hauser (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Echte Kerle (1996),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Diebinnen (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Convent, The (Convento, O) (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Adventures of Pinocchio, The (1996)","Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
Joe's Apartment (1996),"Funny Face (1957)|Band Wagon, The (1953)|Something to Sing About (1937)"
"First Wives Club, The (1996)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Stonewall (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Ransom (1996),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
High School High (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Phat Beach (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Foxfire (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
Chain Reaction (1996),GoldenEye (1995)|Clear and Present Danger (1994)|Surviving the Game (1994)
Matilda (1996),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Emma (1996),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
"Crow: City of Angels, The (1996)",Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
House Arrest (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Eyes Without a Face (1959),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Tales from the Crypt Presents: Bordello of Blood (1996),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Lotto Land (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Story of Xinghua, The (1993)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Flirt (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Big Squeeze, The (1996)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Spitfire Grill, The (1996)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Escape from L.A. (1996),"Abyss, The (1989)|Escape from New York (1981)|Lost World: Jurassic Park, The (1997)"
Cyclo (1995),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
Basquiat (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
Tin Cup (1996),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Dingo (1992),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Ballad of Narayama, The (Narayama Bushiko) (1958)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Every Other Weekend (1990),Nixon (1995)|Othello (1995)|Now and Then (1995)
Mille bolle blu (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Crows and Sparrows (1949),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Godfather, The (1972)","Dead Presidents (1995)|Menace II Society (1993)|Godfather: Part II, The (1974)"
"Hippie Revolution, The (1996)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Supercop (1992),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
Manny & Lo (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
Celestial Clockwork (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Wife, The (1995)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Small Faces (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Bound (1996),"Professional, The (a.k.a. Leon: The Professional) (1994)|Copycat (1995)|Things to Do in Denver when You're Dead (1995)"
Carpool (1996),"Striptease (1996)|Some Like It Hot (1959)|Sting, The (1973)"
Death in Brunswick (1991),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Kansas City (1996),"Young Poisoner's Handbook, The (1995)|Clean Slate (Coup de Torchon) (1981)|Switchblade Sisters (1975)"
Gone Fishin' (1997),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Lover's Knot (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Aiqing wansui (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Shadow of Angels (Schatten der Engel) (1976),Nixon (1995)|Othello (1995)|Now and Then (1995)
Killer: A Journal of Murder (1995),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
Nothing to Lose (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Police Story 4: Project S (Chao ji ji hua) (1993),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Girls Town (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
Bye-Bye (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Relic, The (1997)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
"Island of Dr. Moreau, The (1996)","Lawnmower Man 2: Beyond Cyberspace (1996)|Screamers (1995)|Net, The (1995)"
First Kid (1996),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
"Trigger Effect, The (1996)","Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Sweet Nothing (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Bogus (1996),FairyTale: A True Story (1997)|E.T. the Extra-Terrestrial (1982)|Watership Down (1978)
Bulletproof (1996),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Talk of Angels (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
Land Before Time III: The Time of the Great Giving (1995),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
1-900 (1994),"Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)"
Baton Rouge (1988),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Halloween: The Curse of Michael Myers (1995),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
Twelfth Night (1996),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
Mother Night (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
Liebelei (1933),"Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)"
Venice/Venice (1992),Nixon (1995)|Othello (1995)|Now and Then (1995)
Wild Reeds (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
For Whom the Bell Tolls (1943),"Lawrence of Arabia (1962)|Great Escape, The (1963)|Great Locomotive Chase, The (1956)"
"Philadelphia Story, The (1940)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Singin' in the Rain (1952),"American in Paris, An (1951)|My Fair Lady (1964)|Dirty Dancing (1987)"
"American in Paris, An (1951)",Singin' in the Rain (1952)|My Fair Lady (1964)|Dirty Dancing (1987)
Funny Face (1957),"Joe's Apartment (1996)|Band Wagon, The (1953)|Something to Sing About (1937)"
Breakfast at Tiffany's (1961),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Vertigo (1958),"Just Cause (1995)|Underneath, The (1995)|True Crime (1995)"
Rear Window (1954),"Just Cause (1995)|Underneath, The (1995)|True Crime (1995)"
It Happened One Night (1934),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Gaslight (1944),"Just Cause (1995)|Underneath, The (1995)|True Crime (1995)"
"Gay Divorcee, The (1934)",Top Hat (1935)|Everyone Says I Love You (1996)|Shall We Dance? (1937)
North by Northwest (1959),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
"Apartment, The (1960)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Some Like It Hot (1959),"Striptease (1996)|Carpool (1996)|Sting, The (1973)"
Charade (1963),"Lady Vanishes, The (1938)|Boxing Helena (1993)|Radioland Murders (1994)"
Casablanca (1942),"Rob Roy (1995)|Colonel Chabert, Le (1994)|Gone with the Wind (1939)"
"Maltese Falcon, The (1941)","Big Sleep, The (1946)|Laura (1944)|Chinatown (1974)"
My Fair Lady (1964),"Singin' in the Rain (1952)|American in Paris, An (1951)|Dirty Dancing (1987)"
Sabrina (1954),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Roman Holiday (1953),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"Little Princess, The (1939)","Fluke (1995)|Little Princess, A (1995)|Secret Garden, The (1993)"
Meet Me in St. Louis (1944),"Gigi (1958)|Inspector General, The (1949)|Sound of Music, The (1965)"
"Wizard of Oz, The (1939)",Free Willy 2: The Adventure Home (1995)|Free Willy (1993)|Bedknobs and Broomsticks (1971)
Gone with the Wind (1939),"Rob Roy (1995)|Colonel Chabert, Le (1994)|Casablanca (1942)"
My Favorite Year (1982),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Force of Evil (1948)|Raw Deal (1948)|T-Men (1947)
Citizen Kane (1941),Nixon (1995)|Othello (1995)|Now and Then (1995)
2001: A Space Odyssey (1968),"Client, The (1994)|Gattaca (1997)|X-Files: Fight the Future, The (1998)"
Golden Earrings (1947),"Wings of Courage (1995)|Big Blue, The (Le Grand Bleu) (1988)|Excess Baggage (1997)"
All About Eve (1950),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Women, The (1939)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Rebecca (1940),"Life Less Ordinary, A (1997)|B. Monkey (1998)|Passion of Mind (1999)"
Foreign Correspondent (1940),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Notorious (1946),"Suture (1993)|Rebecca (1940)|Murder, My Sweet (1944)"
Spellbound (1945),Boxing Helena (1993)|Dead Again (1991)|Charade (1963)
"Affair to Remember, An (1957)","Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)"
To Catch a Thief (1955),So I Married an Axe Murderer (1993)|Ghost (1990)|Charade (1963)
Father of the Bride (1950),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Band Wagon, The (1953)",Joe's Apartment (1996)|Funny Face (1957)|Something to Sing About (1937)
Ninotchka (1939),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Love in the Afternoon (1957),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Gigi (1958),"Meet Me in St. Louis (1944)|Inspector General, The (1949)|Sound of Music, The (1965)"
"Reluctant Debutante, The (1958)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Adventures of Robin Hood, The (1938)","Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)"
"Mark of Zorro, The (1940)","Phantom, The (1996)|Macao (1952)|Treasure of the Sierra Madre, The (1948)"
Laura (1944),"Devil in a Blue Dress (1995)|L.A. Confidential (1997)|Maltese Falcon, The (1941)"
"Ghost and Mrs. Muir, The (1947)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Lost Horizon (1937),Nixon (1995)|Othello (1995)|Now and Then (1995)
Top Hat (1935),"Gay Divorcee, The (1934)|Everyone Says I Love You (1996)|Shall We Dance? (1937)"
To Be or Not to Be (1942),"Renaissance Man (1994)|Mister Roberts (1955)|Good Morning, Vietnam (1987)"
My Man Godfrey (1936),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Giant (1956),Nixon (1995)|Othello (1995)|Now and Then (1995)
East of Eden (1955),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Thin Man, The (1934)","301, 302 (1995)|Moonlight Murder (1936)|Woman in Question, The (1950)"
His Girl Friday (1940),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Around the World in 80 Days (1956),Almost Heroes (1998)|Adventures in Babysitting (1987)|Nothing But Trouble (1991)
It's a Wonderful Life (1946),Nixon (1995)|Othello (1995)|Now and Then (1995)
Mr. Smith Goes to Washington (1939),Nixon (1995)|Othello (1995)|Now and Then (1995)
Bringing Up Baby (1938),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Penny Serenade (1941),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Scarlet Letter, The (1926)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Lady of Burlesque (1943),"Manhattan Murder Mystery (1993)|Man Who Knew Too Little, The (1997)|Clue (1985)"
Of Human Bondage (1934),Nixon (1995)|Othello (1995)|Now and Then (1995)
Angel on My Shoulder (1946),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
Little Lord Fauntleroy (1936),Nixon (1995)|Othello (1995)|Now and Then (1995)
They Made Me a Criminal (1939),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
"Inspector General, The (1949)","Meet Me in St. Louis (1944)|Gigi (1958)|Sound of Music, The (1965)"
Angel and the Badman (1947),Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
"39 Steps, The (1935)",Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
"Walk in the Sun, A (1945)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Outlaw, The (1943)",Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
Night of the Living Dead (1968),Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)
"African Queen, The (1951)","Star Wars: Episode VI - Return of the Jedi (1983)|Cutthroat Island (1995)|Last of the Mohicans, The (1992)"
Beat the Devil (1954),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Cat on a Hot Tin Roof (1958),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Last Time I Saw Paris, The (1954)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Meet John Doe (1941),Nixon (1995)|Othello (1995)|Now and Then (1995)
Algiers (1938),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Something to Sing About (1937),"Joe's Apartment (1996)|Funny Face (1957)|Band Wagon, The (1953)"
"Farewell to Arms, A (1932)",For the Moment (1994)|In Love and War (1996)|Lucie Aubrac (1997)
Moonlight Murder (1936),"301, 302 (1995)|Thin Man, The (1934)|Woman in Question, The (1950)"
"Blue Angel, The (Blaue Engel, Der) (1930)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Nothing Personal (1995),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
In the Line of Duty 2 (1987),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Dangerous Ground (1997),Nixon (1995)|Othello (1995)|Now and Then (1995)
Picnic (1955),Nixon (1995)|Othello (1995)|Now and Then (1995)
Madagascar Skin (1995),"Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)"
"Pompatus of Love, The (1996)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Small Wonders (1996),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Fly Away Home (1996),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
Bliss (1997),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Grace of My Heart (1996),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Schlafes Bruder (Brother of Sleep) (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Maximum Risk (1996),GoldenEye (1995)|Clear and Present Danger (1994)|Surviving the Game (1994)
Michael Collins (1996),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
"Rich Man's Wife, The (1996)",Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Infinity (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
Big Night (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
Last Man Standing (1996),"Target (1995)|Geronimo: An American Legend (1993)|Perfect World, A (1993)"
Caught (1996),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Set It Off (1996),New York Cop (1996)|King of New York (1990)|Wisdom (1986)
2 Days in the Valley (1996),"Young Poisoner's Handbook, The (1995)|Clean Slate (Coup de Torchon) (1981)|Switchblade Sisters (1975)"
Curdled (1996),"Young Poisoner's Handbook, The (1995)|Clean Slate (Coup de Torchon) (1981)|Switchblade Sisters (1975)"
"Associate, The (L'Associe)(1982)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Ed's Next Move (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Extreme Measures (1996),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
"Glimmer Man, The (1996)",Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
D3: The Mighty Ducks (1996),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
"Chamber, The (1996)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Apple Dumpling Gang, The (1975)","Apple Dumpling Gang Rides Again, The (1979)|Big Green, The (1995)|Dunston Checks In (1996)"
"Davy Crockett, King of the Wild Frontier (1955)",Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
Escape to Witch Mountain (1975),"Jumanji (1995)|Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)"
"Love Bug, The (1969)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Herbie Rides Again (1974),Jingle All the Way (1996)|Paulie (1998)|Candleshoe (1977)
Old Yeller (1957),"Fluke (1995)|Little Princess, A (1995)|Secret Garden, The (1993)"
"Parent Trap, The (1961)","Fluke (1995)|Little Princess, A (1995)|Secret Garden, The (1993)"
Pollyanna (1960),Babe (1995)|Wide Awake (1998)|Waiting to Exhale (1995)
Homeward Bound: The Incredible Journey (1993),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
"Shaggy Dog, The (1959)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Swiss Family Robinson (1960),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
That Darn Cat! (1965),"That Darn Cat! (1997)|Big Green, The (1995)|Dunston Checks In (1996)"
"20,000 Leagues Under the Sea (1954)","Star Kid (1997)|Return to Oz (1985)|Honey, I Shrunk the Kids (1989)"
Cool Runnings (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
